rank,noun,adj,count
419,salad,so good,1
420,water,free,1
421,chicken breast kabob,very dry,1
422,chicken breast kabob,overcooked,1
423,time,very dry,1
424,time,overcooked,1
425,quality,amazing,1
426,taste,amazing,1
427,food,so authentic,1
428,quality,so authentic,1
429,taste,so authentic,1
430,skewer,amazing,1
431,main,amazing,1
432,kebob meal,double,1
433,sauce,one,1
434,spice,little,1
435,price,cheap,1
436,time,only,1
437,food,same,1
438,bit,pricy,1
439,I,so annoyed,1
440,inconsistency,so annoyed,1
441,wrap,so hard,1
442,it,hard,1
443,it,too soft,1
444,it,perfect,1
445,time,perfect,1
446,thing,exact,1
447,pic,few,1
448,time,different,1
449,you,able,1
450,wait,ready,1
451,hour,busy,1
452,it,too much,1
453,guy,too much,1
454,management,better,1
455,fan,big,1
456,think,big,1
457,kabob,there chapli,1
458,kabob,best,1
459,it,alright,1
460,naan,usually dry,1
461,naan,stale,1
462,naan,reheat,1
463,time,fixed,1
464,time,usually dry,1
465,time,stale,1
466,time,reheat,1
467,door,front,1
468,review,above,1
469,form,kabab,1
470,colouring,yellow,1
471,seasoning,great,1
472,glance,first,1
473,people,couple,1
474,kabab,:-lrb-,1
475,kabab,other,1
476,chicken,sliced,1
477,seasoning,similar,1
478,bed,giant,1
479,rice,plain,1
480,something,little,1
481,menu,decent,1
482,it,halal,1
483,you,not sure,1
484,something,not sure,1
485,place,beautiful,1
486,ambience,nice,1
487,love,nice,1
488,Bamiyaan,much better,1
489,guy,also pretty good,1
490,ambience,also pretty good,1
491,love,also pretty good,1
492,chicken,super,1
493,fan,spicier,1
494,restaurant,true,1
495,option,vegetarian,1
496,seed,full,1
497,bread,vegan,1
498,bread,regular,1
499,bread,dry,1
500,bit,dry,1
501,plate,tasty,1
502,portion,very big,1
503,serving,single,1
504,mast,good,1
505,yogurt,plain,1
506,restaurant,fancy,1
507,menu,very small,1
508,menu,tough,1
509,folk,older,1
510,people,other,1
511,I,sorry,1
512,professionalism,extremely unimpressed,1
513,service,extremely unimpressed,1
514,Reno,gorgeous,1
515,gym,former,1
516,food,mediocre,1
517,staff,mediocre,1
518,decor,very nice,1
519,booth,very comfortable,1
520,spicy sauce,amazing,1
521,plate,huge,1
522,sign,big,1
523,sign,orange,1
524,style service,disorganized,1
525,style service,self-serve,1
526,night,busy,1
527,place,huge,1
528,place,unable,1
529,décor,huge,1
530,décor,unable,1
531,volume,high,1
532,food quality,pretty good,1
533,Quality,pretty good,1
534,overall,pretty good,1
535,chicken meat,average,1
536,kofta,pretty high-quality,1
537,seasoning,aromatic,1
538,chicken breast meat,dry,1
539,Sardari Kabab,dry,1
540,seasoning,dry,1
541,sauce,dry,1
