rank,word,count
1485,quarter,80
1486,refriger,80
1487,island,80
1488,form,80
1489,dozen,80
1490,countri,80
1491,hook,80
1492,pig,80
1493,addict,80
1494,shame,80
1495,adult,80
1496,medic,80
1497,roti,80
1498,phenomen,79
1499,delish,79
1500,driver,79
1501,random,79
1502,cucumb,79
1503,upstair,79
1504,unlik,79
1505,featur,79
1506,manner,79
1507,vape,79
1508,milkshak,79
1509,wonton,79
1510,child,79
1511,threw,78
1512,oili,78
1513,onto,78
1514,text,78
1515,oven,78
1516,fatti,78
1517,ranch,78
1518,regard,78
1519,michael,78
1520,hill,78
1521,shell,78
1522,luckili,78
1523,communic,78
1524,anim,78
1525,block,77
1526,weather,77
1527,equal,77
1528,tasteless,77
1529,toe,77
1530,common,77
1531,chapman,77
1532,battleship,77
1533,dough,76
1534,repli,76
1535,troubl,76
1536,lock,76
1537,distanc,76
1538,awar,76
1539,count,76
1540,batter,76
1541,quantiti,76
1542,pepperoni,76
1543,afterward,76
1544,grow,76
1545,un,76
1546,accompani,75
1547,wipe,75
1548,rip,75
1549,began,75
1550,inn,75
1551,address,75
1552,gold,75
1553,weekday,75
1554,control,75
1555,till,74
1556,bubbl,74
1557,stood,74
1558,gon,74
1559,didnt,74
1560,broke,74
1561,venu,74
1562,vanilla,74
1563,pineappl,74
1564,advic,74
1565,deposit,74
1566,target,74
1567,benni,74
1568,insur,73
1569,microwav,73
1570,nervous,73
1571,everyday,73
1572,consult,73
1573,eventu,73
1574,upscal,73
1575,gentl,73
1576,cinnamon,73
1577,lazi,73
1578,fli,73
1579,nasti,73
1580,compliment,73
1581,mechan,73
1582,renov,73
1583,surround,73
1584,payment,73
1585,advanc,73
1586,curd,73
1587,holiday,72
1588,effort,72
1589,crunch,72
1590,strang,72
1591,upgrad,72
1592,scottsdal,72
1593,hurt,72
1594,link,72
1595,puff,72
1596,take-out,72
1597,win,72
1598,napkin,72
1599,latt,72
1600,kill,72
1601,puppi,72
1602,industri,72
1603,awkward,72
1604,wilenski,72
1605,fridg,72
1606,kauai,71
1607,oper,71
1608,desir,71
1609,memori,71
1610,root,71
1611,caesar,71
1612,ensur,71
1613,gelato,71
1614,easier,70
1615,non,70
1616,access,70
1617,assur,70
1618,cleanli,70
1619,vermicelli,70
1620,damag,70
1621,cleveland,70
1622,mint,70
1623,contract,70
1624,teeth,70
1625,cent,70
1626,ed,70
1627,safeti,70
1628,hurri,69
1629,pump,69
1630,budget,69
1631,fell,69
1632,90,69
1633,encount,69
1634,forc,69
1635,exist,69
1636,cheesi,69
1637,cat,69
1638,rental,69
1639,mein,69
1640,custard,69
1641,bedroom,69
1642,iowa,69
1643,vacat,68
1644,video,68
1645,stare,68
1646,pea,68
1647,connect,68
1648,laid,68
1649,hint,68
1650,assort,68
1651,w,68
1652,dryer,68
1653,terrif,67
1654,excus,67
1655,san,67
1656,bento,67
1657,bank,67
1658,3.5,67
1659,undercook,67
1660,judg,67
1661,blueberri,67
1662,eggplant,67
1663,protein,67
1664,collect,67
1665,omelett,67
1666,makeup,67
1667,slaw,67
1668,privat,67
1669,resid,67
1670,naan,67
1671,lo,67
1672,dead,67
1673,public,67
1674,crew,67
1675,jim,67
1676,comp,66
1677,scene,66
1678,meant,66
1679,cloth,66
1680,flag,66
1681,site,66
1682,starv,66
1683,1st,66
1684,stapl,66
1685,rough,66
1686,adjust,66
1687,advantag,66
1688,mesa,66
1689,gorgeous,66
1690,shake,66
1691,winter,65
1692,fork,65
1693,screw,65
1694,sprout,65
1695,regardless,65
1696,downsid,65
1697,caught,65
1698,therapist,65
1699,buffalo,65
1700,fortun,65
1701,whip,65
1702,accord,65
1703,sun,65
1704,omelet,65
1705,paella,65
1706,boba,64
1707,coat,64
1708,seawe,64
1709,draft,64
1710,pile,64
1711,ben,64
1712,settl,64
1713,barbecu,64
1714,grate,64
1715,biggest,64
1716,inch,64
1717,scream,64
1718,competit,64
1719,opportun,64
1720,cater,64
1721,villag,64
1722,cox,64
1723,massiv,63
1724,cramp,63
1725,eas,63
1726,bang,63
1727,thrill,63
1728,stale,63
1729,china,63
1730,gluten,63
1731,kim,63
1732,bomb,63
1733,flavorless,63
1734,dealer,63
1735,wet,63
1736,chorizo,63
1737,lasagna,63
1738,discuss,62
1739,cabbag,62
1740,neither,62
1741,piano,62
1742,superb,62
1743,equip,62
1744,stage,62
1745,guarante,62
1746,mail,62
1747,philli,62
1748,ventur,62
1749,tad,62
1750,garag,62
1751,chow,62
1752,focus,62
1753,fashion,62
1754,arm,62
1755,speed,62
1756,couch,62
1757,carpet,62
1758,hk,62
1759,breweri,62
1760,kebab,62
1761,file,61
1762,via,61
1763,wheat,61
1764,restroom,61
1765,drunk,61
1766,2-3,61
1767,bagel,61
1768,period,61
1769,memor,61
1770,model,61
1771,bug,61
1772,0,61
1773,shower,61
1774,salesman,61
1775,magic,61
1776,hip,61
1777,greg,61
1778,kabab,61
1779,soooo,60
1780,peanut,60
1781,land,60
1782,wateri,60
1783,blown,60
1784,luci,60
1785,hire,60
1786,fulli,60
1787,wheel,60
1788,resort,60
1789,def,60
1790,dan,60
1791,gun,60
1792,ride,60
1793,crappi,59
1794,anytim,59
1795,rule,59
1796,risk,59
1797,bore,59
1798,margarita,59
1799,buddi,59
1800,wise,59
1801,pleasur,59
1802,tear,59
1803,report,59
1804,unbeliev,59
1805,somehow,59
1806,coke,59
1807,roommat,59
1808,unlv,59
1809,exampl,59
