rank,noun,adj,count
529,bit,small,1
530,bit,doable,1
531,party,small,1
532,party,doable,1
533,drink,most,1
534,smoothie,other,1
535,food,fine,1
536,snack,fine,1
537,boy,good,1
538,chuck,huge,1
539,boba,red,1
540,thing,whole,1
541,I,pretty much full,1
542,point,pretty much full,1
543,I,happier,1
544,boba place,so happy,1
545,store,so happy,1
546,store,delicious,1
547,I,so happy,1
548,it,right,1
549,hit,right,1
550,I,unable,1
551,group,small,1
552,it,very clean,1
553,plus,very clean,1
554,minute,few,1
555,order,ready,1
556,minute,ready,1
557,its,own,1
558,it,too bland,1
559,plaza,same,1
560,plaza,exact,1
561,behold,low,1
562,East Valley,open,1
563,success,much,1
564,get,big,1
565,glance,first,1
566,place,simple,1
567,flavor,tastiest,1
568,bean taro dessert smoothie,red,1
569,bean taro dessert smoothie,amazing,1
570,atmosphere,comfortable,1
571,vibes,good,1
572,price,kick-ass,1
573,cuisine,fantastic,1
574,drink,own,1
575,lady,friendly,1
576,lady,professional,1
577,:-rrb-,friendly,1
578,:-rrb-,professional,1
579,trio,pretty tasty,1
580,trio,very heavy,1
581,wife,favorite,1
582,combination,great,1
583,crunch,unique,1
584,it,very different,1
585,I,there everyday,1
586,tho,halo-halo,1
587,everyone,friendly,1
588,stop,first,1
589,Boba,great,1
590,Boba,fresh,1
591,selection,just right.however,1
592,boba,quick,1
593,opening,first,1
594,service,literary,1
595,consumer,last,1
596,pm,sharp,1
597,improvement,much,1
598,sugar,less,1
599,lady boss,always sweet,1
600,desk,front,1
601,desk,always sweet,1
602,drink,not good,1
603,satisfaction,absolute,1
604,time,single,1
605,commitment,devoted,1
606,commitment,dedicated,1
607,visit,first,1
608,smoothie,real,1
609,smoothie,unsurpassed,1
610,I,not disappointed,1
611,treat,unique,1
612,game,available,1
613,drink spot,go-to,1
614,fruit,different,1
615,jelly,different,1
616,thing,favorite,1
617,fruit tea,fresh,1
618,it,so delicious,1
619,tea,not very sweet,1
620,strawberry,fresh,1
621,strawberry,sweet,1
622,drink,whole,1
623,ball,not nice,1
624,ball,chewy,1
625,side,mushy,1
626,side,not nice,1
627,side,chewy,1
628,vibes,very friendly,1
629,vibes,great,1
630,selection,different,1
631,person,visual,1
632,Fruit Addict,so so delicious,1
633,dessert,good,1
634,place,little,1
635,side,sweeter,1
636,customer service,nice,1
637,longan,fresh,1
638,seed,fresh,1
639,piece,fresh,1
640,pandan jelly,fresh,1
641,like,fresh,1
642,texture,extra,1
643,hook,refreshing,1
644,staff,so friendly,1
645,staff,always have,1
646,item,so many,1
647,wait,so many,1
648,item,other,1
649,wait,other,1
650,spot,favorite,1
651,taste,really refreshing,1
652,taste,especially great,1
653,degree weather,really refreshing,1
654,degree weather,especially great,1
655,flavor,slight,1
656,flavor,tart,1
657,cuisine,new,1
658,dessert,new,1
659,cuisine,asian,1
660,dessert,asian,1
661,dessert shop,refreshing,1
662,style dessert,vietnamese,1
663,revolutionary,argentine,1
664,revolutionary,marxist,1
665,bubble tea,too much,1
666,drink,too much,1
667,shop,small,1
668,variety,large,1
669,coconut milk,several,1
670,drink,several,1
671,fruit,various,1
672,boba,various,1
673,tasting drink,light,1
674,tasting drink,good,1
675,someone,good,1
676,refreshment,more,1
677,refreshment,hydrating,1
678,texture,slippery,1
679,texture,weird,1
680,coconut milk,rich,1
681,fruit,rich,1
682,fruit,dessert-like,1
683,day,hot,1
684,way,favorite,1
685,people,ok,1
686,desert,light,1
687,everything taste,delicious,1
688,caramel coffee,salted,1
689,trust,good,1
690,I,also pretty good,1
691,tea,yummy,1
692,tea,black,1
693,employee,very friendly,1
694,I,able,1
695,order,last,1
696,cashier,very friendly,1
697,quality,good,1
698,quality,not better,1
699,taste,good,1
700,taste,not better,1
701,location,good,1
702,location,not better,1
703,what,different,1
704,ability,different,1
705,custom drink,own,1
706,name,different,1
707,drink,preselected,1
708,location,small,1
709,table,few,1
710,Bambu,welcome,1
711,Chandler,welcome,1
712,experience,first,1
713,customer service,excellent,1
714,coconut milk,fresh,1
715,halo halo,normal,1
716,jar,fresh,1
717,we,skeptical,1
718,charge,extra,1
719,friend,best,1
720,they,not too sweet,1
721,tastebud,not too sweet,1
722,kind,different,1
723,it,amazing,1
724,Starbucks lol,better,1
725,coffee,bitter,1
726,taste,bitter,1
727,place,most,1
728,place,little longer,1
729,month,finally open,1
730,Bambu,finally open,1
731,pea,black,1
732,pea,eyed,1
733,jackfruit,such,1
734,lychee,such,1
735,durian,such,1
736,longan,such,1
737,store,small,1
738,table,limited,1
739,Fruit Addict,awesome,1
740,taro,white,1
741,panda,red,1
742,panda,white,1
743,taro,mung,1
744,panda,mung,1
745,restaurant,vietnamese,1
746,it,unpleasant,1
747,menu,blank,1
748,casher,friendly,1
749,casher,lack,1
750,I,last,1
751,line,last,1
752,minute,mine,1
753,thing,extremely sweet,1
754,coffee,better,1
755,thing,decent,1
756,people,other,1
757,top,delicious,1
758,basil seed,very good,1
759,you,very good,1
760,boyfriend,very picky,1
761,star,sure,1
762,time,many,1
763,curiosity,pure,1
764,ingredient,sweet,1
765,piece,generous,1
766,tea,dense,1
767,tea,creamy,1
768,it,lighter,1
769,drive,long,1
770,wish,long,1
771,Fruit,so fresh,1
772,crap,holy,1
773,month,pregnant,1
774,month,wish,1
775,customer,there early,1
776,face,sad,1
777,opening,official,1
778,Mia,certain,1
779,visitor,youngest,1
780,week,whopping,1
781,week,old,1
782,I,happy,1
783,Mia,happy,1
784,wish,super,1
785,success,great,1
786,spot,go-to,1
787,ice dessert,vietnamese,1
788,they,new,1
789,brand,new,1
790,table,clean,1
791,suggestion,only,1
792,daughter,oldest,1
793,I,oldest,1
794,my,hubby,1
795,daughter,younger,1
796,mango,fresh,1
797,flavor,other,1
798,coconut smoothie,yummy,1
799,atmosphere,nice,1
800,it,worth,1
801,ice,crushed,1
